vocabs, center, score
hikntwy, 64, 0,
deklqrs, 4, 0,
aegjktv, 8, 0,
bdgjmuw, 4, 3,
abejlnp, 32, 25,
abejnpv, 4, 7,
glrstvy, 128, 1,
cgijrsy, 8, 2,
eflmpux, 16, 0,
cfgjtvw, 4, 0,
achinty, 4, 0,
bcdekqs, 16, 7,
adegotv, 8, 0,
dgjtuvw, 8, 0,
abejopu, 8, 0,
bjlnopv, 16, 0,
glortvy, 4, 0,
aceijsy, 32, 20,
flmosux, 8, 0,
cfjstuw, 32, 0,
ahnrtwy, 8, 0,
cdkqrsv, 64, 0,
aefgkov, 8, 0,
bdghuvw, 32, 0,
abejmnp, 8, 0,
ajnopqv, 64, 0,
dgmrtvy, 4, 0,
cfgijsy, 4, 0,
eflmsux, 64, 12,
acfjtuw, 32, 0,
adintwy, 64, 0,
cdeoqrs, 32, 39,
egkotvy, 8, 0,
bdgjovw, 4, 3,
abdjnop, 16, 14,
abcjopv, 64, 0,
gklrtvy, 64, 0,
cgijsxy, 128, 0,
aflpsux, 128, 0,
cfgjltu, 2, 0,
ahintvy, 32, 0,
cdelqrs, 2, 0,
aegkopv, 16, 0,
dghjuvw, 4, 0,
abejkop, 4, 11,
abjopsv, 32, 0,
dglrstv, 32, 0,
ceijrsy, 32, 27,
flmnpux, 8, 0,
bcfgjuw, 4, 0,
ahnotwy, 16, 0,
cdefqrs, 4, 0,
aegotvy, 16, 0,
bdgruvw, 32, 0,
bejknop, 128, 0,
abejnop, 64, 0,
cdglrvy, 8, 2,
egijmsy, 16, 0,
flmpsvx, 8, 0,
cfgjmuw, 8, 0,
ahiptwy, 8, 0,
cdekmqs, 4, 0,
afgkotv, 4, 0,
bdgjqvw, 16, 0,
abejopq, 4, 6,
abjopvw, 32, 0,
dlnrtvy, 4, 0,
cegijst, 16, 0,
fglmpsu, 32, 0,
efgjtuw, 32, 8,
ahinuwy, 16, 0,
bcekqrs, 4, 3,
aegkosv, 512, 0,
bdguvwx, 4, 1,
abejlnp, 32, 25,
ajnopvx, 64, 0,
dfgrtvy, 16, 2,
aegijsy, 4, 0,
afmpsux, 16, 0,
cfgtuwy, 16, 0,
ahinuwy, 8, 0,
cdgkqrs, 8, 1,
aegkotu, 16, 0,
bcdguvw, 4, 1,
abenopr, 16, 0,
abjmnop, 16, 0,
dgklrvy, 32, 0,
egijrsy, 8, 0,
cflpsux, 16, 0,
cfgjktw, 32, 0,
ahinrtw, 8, 0,
cdegqrs, 4, 0,
aefgktv, 2, 16,
bdghjvw, 8, 0,
abejmnp, 8, 0,
abnoptv, 8, 0,
dgilrvy, 32, 0,
cegijps, 2, 0,
fhlpsux, 16, 0,
efgjtuw, 4, 0,
ahintuw, 4, 0,
cehkqrs, 4, 0,
egkoptv, 4, 0,
bdgsuvw, 64, 0,
abejnpt, 128, 0,
bijnopv, 128, 0,
dgprtvy, 8, 0,
egijnsy, 128, 11,
filmpsx, 256, 0,
acfgjtw, 8, 5,
adhintw, 256, 12,
cdekqsv, 32, 9,
aekotvx, 256, 0,
dgjruvw, 8, 0,
abenopw, 32, 13,
bjnoprv, 2, 0,
dglrvxy, 4, 0,
cegjswy, 128, 2,
aflpsux, 8, 0,
cdfgtuw, 4, 0,
ahnotwy, 16, 0,
cdekoqs, 128, 0,
agkmotv, 64, 0,
bdgjsvw, 16, 2,
aejnopw, 64, 0,
ajnopsv, 512, 0,
adgltvy, 32, 0,
cgijrsy, 16, 0,
cflmsux, 8, 3,
cfgjntw, 8, 1,
aghntwy, 4, 0,
dekqrst, 32, 37,
aegkotu, 4, 0,
bdghjuw, 512, 0,
abenopy, 2, 15,
abjnpvy, 4, 5,
adgrtvy, 64, 0,
acegijs, 16, 0,
lmpstux, 32, 0,
cgjqtuw, 16, 0,
adhitwy, 32, 0,
cdeklqr, 4, 0,
aegkopv, 4, 0,
bdgluvw, 256, 0,
aejnopu, 4, 0,
abjopvw, 4, 3,
adlrtvy, 4, 0,
efgijsy, 32, 9,
flpsuxy, 8, 0,
cefgjtu, 32, 5,
hintwxy, 8, 0,
cdikqrs, 64, 0,
acekotv, 32, 16,
bdgruvw, 8, 0,
abejnov, 16, 0,
abjknop, 8, 0,
aglrtvy, 32, 0,
cgijsuy, 64, 0,
fklmsux, 32, 0,
cfgtuvw, 8, 1,
aeintwy, 2, 27,
dekqrsw, 64, 0,
aegkouv, 4, 0,
bdgjruw, 8, 0,
abefjop, 2, 10,
abjnpuv, 32, 0,
cglrtvy, 8, 1,
egijqsy, 4, 0,
flmqsux, 32, 0,
cfgjtwx, 128, 2,
ahituwy, 256, 11,
cdeqrsw, 4, 0,
acegotv, 8, 9,
bdgluvw, 4, 4,
aefjnop, 16, 0,
abjknov, 4, 11,
dgltvwy, 4, 0,
ceijsxy, 8, 8,
flpsuvx, 32, 0,
cgjptuw, 16, 0,
ainstwy, 128, 0,
cdikqrs, 16, 8,
agkotuv, 8, 0,
bdijuvw, 16, 3,
abenopv, 4, 8,
abnopvx, 4, 6,
adglrvy, 64, 0,
cegjpsy, 4, 0,
flmqsux, 16, 0,
acfgjtw, 512, 0,
abhinwy, 4, 6,
cdefkqr, 32, 15,
eghkotv, 64, 0,
bdgjnvw, 4, 0,
bejnopv, 16, 0,
abjnpsv, 8, 0,
dgklrvy, 4, 0,
aegijsy, 16, 0,
flmpuvx, 8, 0,
cfhjtuw, 128, 0,
achinty, 4, 0,
cejkqrs, 4, 0,
agklotv, 4, 0,
bgjruvw, 128, 2,
abeknop, 64, 0,
abjnops, 128, 0,
fglrtvy, 64, 2,
cegijuy, 8, 2,
filmpsx, 4, 0,
cdfgjuw, 8, 1,
hinptwy, 256, 5,
ceklqrs, 32, 29,
aegkltv, 32, 33,
dgjnuvw, 8, 0,
bejmnop, 4, 6,
abjopvy, 128, 0,
dgilrtv, 512, 6,
cegjsuy, 4, 0,
flpsuvx, 32, 0,
cfgijtu, 8, 3,
aghntwy, 32, 0,
cdejqrs, 4, 0,
adegkov, 8, 0,
bdgjtvw, 8, 0,
abejnoq, 64, 0,
abjnopr, 8, 0,
dgprtvy, 4, 0,
begijsy, 2, 0,
flmpsuv, 4, 0,
cfgjmtu, 4, 0,
ahijtwy, 8, 0,
dekqrsv, 8, 0,
acekotv, 16, 0,
bdghjuw, 4, 2,
abejmnp, 4, 11,
abnopsv, 64, 0,
dglqrvy, 8, 0,
cgijmsy, 16, 0,
flmopsu, 16, 0,
cfgijtu, 64, 7,
ahiqtwy, 8, 0,
cdekrsw, 2, 0,
aegotvw, 32, 12,
dgjmuvw, 16, 1,
bejnopy, 64, 0,
ajnoprv, 8, 0,
dgklrty, 512, 0,
ceijosy, 256, 0,
flmptux, 4, 0,
cfgjnuw, 4, 0,
ahinrwy, 8, 0,
cdgkqrs, 256, 0,
egkotuv, 16, 0,
bdghjuw, 8, 0,
abejopy, 16, 0,
abjopvx, 4, 3,
dgrstvy, 8, 0,
aceijsy, 32, 20,
fhlmsux, 8, 0,
cdfgjuw, 8, 1,
ahintuy, 8, 0,
cdfkqrs, 16, 2,
aeikotv, 8, 0,
bdgjruv, 16, 1,
abenopy, 8, 0,
ajnopvy, 64, 0,
dglnrty, 128, 1,
ceijosy, 64, 0,
filpsux, 4, 0,
cfgjkuw, 8, 0,
ahirtwy, 64, 0,
acekqrs, 16, 0,
aegkotu, 2, 19,
bdfgjvw, 8, 0,
abejnov, 8, 0,
agjnopv, 128, 9,
gjlrtvy, 64, 0,
bcegjsy, 2, 0,
flmprux, 64, 7,
cfgjptu, 4, 0,
ahitvwy, 16, 0,
cdekqsu, 4, 0,
aegiotv, 8, 0,
bdghuvw, 32, 0,
abjnopq, 16, 0,
ajnopqv, 4, 0,
bdgltvy, 8, 0,
cegjqsy, 256, 0,
fhlpsux, 16, 0,
cfjtuwx, 16, 0,
afhinwy, 16, 0,
cdeknqr, 8, 6,
aegnotv, 32, 27,
bdjquvw, 4, 1,
abcjnop, 32, 0,
abejopv, 32, 10,
dgqrtvy, 4, 0,
egijnsy, 16, 0,
flmpqsx, 8, 0,
fgjmtuw, 4, 0,
abhintw, 4, 13,
cdkqrsu, 8, 4,
agklotv, 256, 0,
dgjnuvw, 8, 0,
abegjop, 4, 8,
abjnorv, 32, 0,
bdgltvy, 128, 1,
cegijpy, 8, 1,
lmpsuxy, 16, 0,
cfgjotu, 64, 7,
hinstwy, 4, 0,
cdekpqr, 64, 0,
aegkoqv, 8, 0,
bdgjpvw, 4, 1,
abejopx, 4, 7,
abcjopv, 32, 0,
dglnrty, 8, 0,
cegijsv, 128, 1,
flmnpsx, 16, 0,
cfgjuwx, 64, 3,
hintvwy, 128, 0,
cdefkrs, 4, 0,
aefgotv, 16, 0,
bdjmuvw, 4, 3,
abelnop, 256, 0,
agjnopv, 8, 0,
cdgrtvy, 8, 2,
cgijmsy, 8, 1,
flmqsux, 4, 0,
bcfgjtu, 32, 0,
ahlntwy, 8, 0,
cdejkqs, 16, 5,
aegkotu, 4, 0,
bdfgjvw, 32, 0,
abejnox, 32, 14,
abjopvx, 512, 0,
dglrtvw, 32, 0,
ceghjsy, 16, 0,
flpsuvx, 16, 0,
cgjtuwy, 4, 0,
ahimnwy, 4, 0,
cdekmqr, 64, 0,
egknotv, 32, 15,
bdfjuvw, 4, 1,
abjnopu, 4, 8,
ajnoptv, 128, 0,
gilrtvy, 16, 0,
egijpsy, 8, 0,
elmpsux, 8, 0,
bcfgjtw, 32, 0,
achinty, 256, 17,
bcdekqr, 64, 0,
aegkrtv, 4, 0,
bdjuvwx, 16, 3,
aejnopt, 32, 21,
abjnpqv, 16, 0,
dglotvy, 4, 0,
cegiksy, 4, 0,
flmpuwx, 32, 0,
cfgjntw, 32, 0,
hinrtwy, 4, 0,
cdkqrst, 8, 0,
aegkotw, 16, 0,
bdgmuvw, 8, 0,
abjlnop, 8, 0,
abnopvy, 16, 0,
cglrtvy, 32, 0,
cegijsu, 4, 0,
fjmpsux, 4, 0,
cfgjltu, 256, 0,
ahinstw, 64, 0,
cdeikrs, 4, 0,
egikotv, 4, 0,
bdgjqvw, 8, 0,
bejnopq, 64, 0,
abjnopq, 4, 7,
dgiltvy, 32, 0,
cehijsy, 512, 9,
flpsuvx, 512, 0,
cgjmtuw, 4, 0,
ahinowy, 4, 0,
cdekprs, 4, 0,
egkoqtv, 32, 7,
adgjuvw, 16, 2,
abjnopq, 32, 0,
abdjopv, 4, 3,
dglotvy, 8, 0,
aegijsy, 8, 0,
fmprsux, 32, 0,
fgjtuwx, 4, 0,
achintw, 2, 31,
bcdekqr, 16, 10,
aeghotv, 128, 14,
bgjruvw, 32, 0,
abelnop, 4, 19,
abjnpsv, 512, 0,
adglrtv, 16, 8,
egijsuy, 4, 0,
filmsux, 2, 0,
cgjktuw, 4, 0,
aintuwy, 8, 0,
deikqrs, 8, 0,
cegkotv, 2, 0,
bcdguvw, 2, 0,
begjnop, 4, 6,
abjlnpv, 32, 0,
dgortvy, 4, 0,
ceginsy, 512, 23,
flmpsuy, 8, 0,
cfgjstw, 32, 0,
afhinwy, 4, 0,
cdekrsv, 16, 17,
agkotvy, 128, 4,
bdjmuvw, 2, 0,
abejopw, 256, 0,
abdjopv, 32, 0,
dlnrtvy, 4, 0,
egijsuy, 4, 0,
filmpux, 4, 0,
cfjntuw, 32, 0,
ahinswy, 8, 0,
cekqrsv, 8, 4,
aegktuv, 4, 0,
bdgjuwx, 8, 0,
abdejnp, 4, 14,
abejnop, 32, 14,
eglrtvy, 8, 0,
cfgijsy, 32, 0,
fhlmpux, 32, 0,
cfgjsuw, 64, 4,
ahiptwy, 64, 0,
cdefkqr, 32, 15,
aegkopv, 16, 0,
bdgjkvw, 16, 1,
aeijnop, 256, 0,
abdjnov, 16, 8,
dglmrtv, 16, 4,
cegijqs, 8, 3,
ilmpsux, 4, 0,
efgjtuw, 32, 8,
ahintuw, 32, 0,
cdeoqrs, 8, 18,
aekostv, 8, 0,
bdguvwy, 16, 2,
aeijnop, 8, 0,
adjnopv, 8, 0,
dgrtvwy, 8, 0,
cdegisy, 16, 16,
flmosux, 16, 0,
cfgjtux, 4, 0,
aintvwy, 2, 20,
cdegkqr, 32, 15,
egikotv, 8, 0,
bdjuvwx, 4, 1,
aejnopw, 16, 0,
abjoprv, 32, 0,
dglotvy, 512, 0,
cghijsy, 16, 0,
flmpqsx, 8, 0,
cfjtuvw, 8, 1,
ainptwy, 16, 0,
cdeqrsv, 4, 0,
adgkotv, 256, 0,
dghjuvw, 4, 0,
abejnpr, 4, 13,
abjnpqv, 16, 0,
dglptvy, 64, 0,
cgijsvy, 16, 0,
afmpsux, 8, 0,
fgjotuw, 4, 0,
ahnstwy, 256, 14,
ceklqrs, 8, 6,
aegoptv, 4, 0,
bdfguvw, 8, 0,
abehjnp, 16, 0,
abfjopv, 16, 0,
cdglrvy, 8, 2,
ceginsy, 512, 23,
fglpsux, 8, 0,
cfgjntw, 16, 0,
abhntwy, 16, 0,
cekpqrs, 32, 29,
aegoptv, 64, 0,
bdjsuvw, 32, 0,
abelnop, 64, 0,
abnopvw, 4, 6,
dklrtvy, 4, 0,
cfgijsy, 64, 3,
flmpstx, 2, 0,
cfgtuwx, 32, 0,
ahinwxy, 8, 0,
dekqrsy, 4, 0,
aegkmtv, 64, 0,
bdgjtuw, 128, 1,
abejnpt, 16, 0,
bijnopv, 8, 0,
dgjltvy, 4, 0,
ceijosy, 2, 0,
fmpsuvx, 16, 0,
cfgijuw, 4, 0,
achntwy, 8, 6,
bcekqrs, 256, 0,
aegikot, 4, 0,
bdgjluv, 512, 0,
abehjop, 4, 7,
abnopuv, 4, 7,
dlrtvxy, 4, 0,
cegiswy, 128, 3,
fglmpux, 8, 0,
fgjtuwy, 128, 3,
dhintwy, 16, 5,
bcdekqs, 2, 0,
aegjkot, 16, 0,
bdgjsuw, 2, 0,
aeijnop, 4, 0,
bjknopv, 2, 0,
dglorvy, 4, 0,
cegjsty, 4, 0,
fgmpsux, 32, 0,
bcfgjtu, 64, 4,
hintvwy, 128, 0,
cdekors, 32, 52,
aegkopv, 16, 0,
bdgijuv, 8, 0,
abefjop, 4, 7,
abjnpuv, 8, 0,
dlqrtvy, 512, 0,
cegijps, 32, 9,
cflpsux, 8, 4,
cefgjtw, 64, 6,
ahntwxy, 2, 11,
cdeqrsv, 8, 6,
aegknot, 4, 0,
bdgjnuw, 16, 4,
abenopv, 4, 8,
bjnopvw, 32, 0,
dlmrtvy, 16, 4,
acgijsy, 4, 0,
flmopsu, 16, 0,
cefgjtw, 16, 0,
hijntwy, 4, 0,
dekpqrs, 4, 0,
acegkov, 8, 6,
bdghjuw, 4, 2,
abjnopy, 32, 0,
abjnorv, 64, 0,
dgkrtvy, 16, 2,
cegijuy, 128, 1,
bflpsux, 4, 8,
cefgtuw, 256, 0,
ahinpwy, 4, 0,
cdegkqs, 2, 0,
aekotvw, 16, 0,
degjuvw, 8, 0,
aejmnop, 64, 0,
abfjnpv, 32, 0,
dflrtvy, 128, 0,
egijsuy, 64, 0,
bflmpsu, 8, 0,
cfgjltu, 8, 4,
adhinwy, 4, 0,
cdefkrs, 4, 0,
aekostv, 8, 0,
dgijuvw, 4, 0,
aejnopr, 4, 0,
abjnops, 16, 0,
dglrtuy, 256, 0,
bceijsy, 32, 12,
fklmpux, 256, 0,
acfgjuw, 4, 0,
ahiptwy, 16, 0,
cdekoqr, 4, 0,
acekotv, 2, 19,
bdgjtuv, 256, 0,
befjnop, 4, 5,
abjopvw, 16, 0,
dglortv, 64, 0,
egijswy, 8, 0,
aflmpsu, 4, 0,
acfgjtw, 8, 5,
afhintw, 4, 0,
cdefkqr, 16, 6,
degkotv, 16, 12,
bdegjvw, 16, 6,
abcjnop, 8, 11,
abjnpvy, 2, 14,
fglrtvy, 32, 0,
cegimsy, 8, 8,
almpsux, 8, 0,
cfgntuw, 64, 5,
achinwy, 32, 0,
bcekqrs, 16, 0,
aegkmot, 512, 0,
bdgijvw, 16, 1,
aehjnop, 8, 0,
abgjnov, 16, 0,
cdglrtv, 16, 5,
cgijswy, 16, 0,
filmpux, 4, 0,
cfgjrtu, 16, 0,
ahintuy, 32, 0,
cdeklqr, 2, 0,
aegkost, 8, 0,
bdfgjuw, 2, 0,
abdenop, 32, 26,
bjnoprv, 4, 6,
dlrtvxy, 16, 5,
eghijsy, 32, 7,
flmnpux, 128, 0,
cfgjtvw, 4, 0,
ahikntw, 4, 0,
cdekqsx, 8, 3,
aeghktv, 8, 0,
bdijuvw, 64, 0,
abdejnp, 4, 14,
bjnopvw, 8, 0,
gilrtvy, 32, 0,
cegiswy, 4, 0,
flmsuwx, 4, 0,
cfghjtw, 8, 1,
ehintwy, 16, 0,
degkqrs, 8, 0,
aegknot, 8, 0,
bfgjuvw, 16, 0,
abenops, 16, 0,
abhjopv, 64, 0,
cdlrtvy, 32, 0,
cegjosy, 8, 6,
fjlpsux, 2, 0,
acfgjuw, 16, 0,
ahintvy, 4, 0,
defkqrs, 4, 0,
aegkrtv, 8, 0,
bdgkuvw, 32, 0,
abefjnp, 32, 10,
abmnopv, 4, 9,
degltvy, 4, 0,
cegijms, 8, 4,
flmosux, 256, 0,
cgijtuw, 8, 0,
ahimnty, 128, 0,
cdejkqs, 8, 2,
egklotv, 16, 0,
bgjmuvw, 64, 0,
abejnps, 4, 19,
ajnoptv, 4, 0,
cdglrvy, 64, 0,
cegisvy, 16, 0,
bflmpsx, 32, 0,
fgjmtuw, 16, 0,
abhntwy, 32, 0,
cdeknrs, 4, 0,
agkotvw, 4, 0,
bdgjnuv, 8, 0,
abenopv, 16, 0,
abjnopu, 4, 8,
glprtvy, 2, 0,
acgijsy, 4, 0,
flmosux, 16, 0,
cfgjotu, 4, 0,
aikntwy, 128, 0,
cdejkqs, 32, 10,
egjkotv, 32, 6,
bgjuvwy, 16, 0,
bejnops, 4, 12,
abjlopv, 64, 0,
glprtvy, 16, 0,
cegipsy, 4, 0,
flmsuvx, 4, 0,
dfgjtuw, 32, 0,
ahistwy, 32, 0,
cejkqrs, 16, 0,
aekortv, 2, 30,
bgjnuvw, 256, 0,
abenopr, 64, 0,
abjlnpv, 4, 5,
dgkrtvy, 8, 0,
cgijsxy, 16, 0,
flmnpsu, 16, 0,
bcfgjtw, 4, 0,
afhintw, 16, 0,
ceknqrs, 8, 9,
aegkoqt, 8, 0,
dgjouvw, 16, 4,
aejnopu, 4, 0,
bjnoptv, 8, 0,
dglrsty, 8, 0,
cegijoy, 8, 3,
aflmpux, 8, 0,
dfgjtuw, 4, 0,
ahiktwy, 4, 0,
dejkqrs, 8, 0,
aegikov, 8, 0,
bdgjsuw, 4, 3,
abegjno, 32, 17,
abjlnpv, 2, 14,
dglrsvy, 64, 0,
cegisxy, 64, 0,
flmpqux, 256, 0,
cfgtuwy, 4, 0,
abhinty, 128, 0,
cdehkqs, 32, 14,
aegmotv, 4, 0,
bdgijuw, 32, 0,
abejnoy, 4, 11,
abgjnop, 4, 7,
glqrtvy, 4, 0,
bcegjsy, 64, 0,
fhlmpsu, 8, 0,
cdfgjuw, 4, 0,
acintwy, 4, 0,
acdeqrs, 8, 33,
acegkov, 4, 0,
bdgjkuv, 16, 2,
abehjno, 8, 0,
adjnopv, 8, 0,
bdglrtv, 64, 0,
egijosy, 32, 8,
flmpstx, 8, 0,
cfgjmuw, 32, 0,
hinrtwy, 32, 0,
cekoqrs, 16, 0,
aegkopt, 4, 0,
bdhjuvw, 2, 0,
abenopx, 4, 9,
bjnopqv, 16, 0,
dgjltvy, 8, 0,
cegijly, 32, 4,
flmpstx, 16, 0,
fgjltuw, 4, 0,
aintvwy, 4, 0,
cdeqrsu, 4, 0,
afgkotv, 16, 0,
bdgjrvw, 128, 1,
abehjnp, 16, 0,
bjlnopv, 4, 4,
gklrtvy, 64, 0,
cegijst, 16, 0,
fglmpsu, 256, 0,
cfgjuwy, 16, 0,
afhntwy, 64, 9,
cdkqrsv, 8, 0,
aegkotx, 8, 0,
bdgjquw, 16, 2,
abjnopq, 4, 7,
abjopvy, 4, 4,
glrtuvy, 16, 0,
ceijnsy, 256, 0,
fklpsux, 256, 0,
bcfgjtw, 8, 1,
ahinptw, 128, 0,
deikqrs, 8, 0,
agikotv, 32, 0,
bgjsuvw, 32, 0,
abenopu, 8, 0,
abfjnop, 2, 15,
dglnrtv, 32, 0,
cegipsy, 4, 0,
fklpsux, 4, 0,
cfgjtuy, 32, 0,
hinstwy, 2, 0,
cekqrsy, 32, 24,
aegkptv, 4, 0,
dgjmuvw, 16, 1,
behjnop, 8, 0,
abcjnov, 4, 11,
fglrtvy, 8, 0,
cegijst, 8, 5,
aflmsux, 16, 0,
cgjstuw, 32, 0,
aehinty, 16, 0,
deikqrs, 16, 25,
agkotvw, 16, 0,
bdgjuwy, 64, 0,
abejnou, 4, 13,
abjnoqv, 16, 0,
dgltvxy, 16, 4,
egijrsy, 4, 0,
aflmpsx, 2, 22,
cfgmtuw, 256, 0,
agintwy, 16, 0,
cdefkrs, 16, 14,
aegkosv, 512, 0,
degjuvw, 128, 3,
bejnops, 8, 0,
abjnopy, 32, 0,
eglrtvy, 2, 0,
ceijpsy, 4, 0,
bflmpsx, 16, 0,
cdgjtuw, 8, 1,
ahkntwy, 16, 0,
cekqrsx, 128, 0,
egklotv, 4, 0,
bdijuvw, 64, 0,
abejnpq, 8, 0,
abdjnov, 128, 0,
dgortvy, 2, 0,
begijsy, 16, 0,
cfmpsux, 4, 0,
cfjmtuw, 4, 0,
hintuwy, 4, 0,
cdekqrt, 8, 7,
aegktuv, 8, 0,
bdgjruw, 128, 2,
