vocabs, center, score
adehswx, 128, 0,
egimqrt, 64, 0,
deiprtw, 2, 0,
defgopr, 64, 9,
bdefory, 256, 0,
denrsvx, 8, 0,
abefiry, 128, 0,
efipstu, 512, 19,
cekprtx, 64, 0,
defnotw, 512, 0,
abclmns, 16, 0,
bgnrstu, 16, 0,
ademopr, 4, 0,
deghmot, 128, 12,
adefily, 4, 0,
defrsty, 64, 9,
demnswy, 8, 0,
delnpty, 4, 0,
acdefjr, 64, 9,
abelmqr, 8, 0,
adehjsw, 16, 15,
demqrtw, 4, 0,
cdeortw, 8, 15,
defgiow, 16, 18,
defhorw, 4, 0,
dejrstx, 64, 0,
abeimty, 4, 11,
ehiprsu, 4, 0,
cdekqrt, 256, 0,
deflost, 8, 0,
aflmnsu, 8, 0,
abdgstu, 8, 0,
dehkmpr, 4, 0,
cdehost, 16, 15,
adefilo, 128, 0,
eflrsxy, 8, 0,
ademnps, 32, 61,
aelnpst, 128, 0,
acdefpy, 4, 0,
abeopqr, 4, 18,
adeghvw, 8, 0,
eghmqrt, 4, 0,
acdertw, 128, 0,
cdefgrw, 128, 9,
beforwy, 128, 0,
dejnpsx, 4, 0,
abeiory, 8, 0,
efiprsx, 2, 0,
cdekrst, 256, 0,
delotuw, 4, 0,
ablnrsu, 4, 28,
abegrst, 2, 101,
defkmor, 8, 0,
degostv, 4, 0,
abdefik, 128, 0,
defruxy, 64, 4,
dgmnpsw, 8, 0,
dehnpst, 8, 0,
aceflpr, 2, 41,
abdeoqr, 64, 0,
adehmsv, 4, 0,
egimqrt, 8, 0,
cdeoptw, 4, 0,
defgkow, 32, 14,
defgowy, 4, 0,
ejknrsx, 128, 0,
abeipty, 8, 0,
efipsuv, 16, 0,
acdekrt, 4, 0,
defgltw, 4, 0,
bhlmnsu, 16, 0,
abdgrst, 8, 0,
dekmorw, 8, 0,
deghoqt, 8, 0,
abefilx, 16, 0,
adefrsy, 4, 0,
aemnpsw, 32, 45,
dejlnst, 8, 0,
acdefpq, 32, 9,
abejmqr, 8, 0,
aehsuvw, 64, 0,
dgmqrtv, 8, 0,
celprtw, 32, 22,
dfgoruw, 8, 0,
defrtwy, 64, 4,
dejlnrx, 4, 0,
abiqrty, 4, 9,
egiprsu, 64, 0,
dekprtx, 32, 24,
defgotw, 64, 7,
ablmrsu, 32, 0,
abgorst, 8, 0,
bdemopr, 4, 24,
degosty, 16, 24,
abdefjl, 64, 12,
defstxy, 64, 6,
cdemnps, 128, 0,
dilnpst, 128, 0,
abcdepr, 2, 50,
abekmoq, 32, 6,
aehsvwy, 2, 20,
degkqrt, 16, 9,
cdenprt, 4, 0,
befgorw, 4, 13,
defgory, 32, 31,
ejmnrsx, 32, 18,
abeikrt, 32, 57,
fioprsu, 8, 0,
cdehkpr, 4, 0,
delmotw, 16, 31,
abmnsux, 4, 8,
bgkrstu, 16, 0,
deikopr, 32, 48,
deghops, 128, 15,
abefilw, 64, 20,
defprsy, 8, 0,
defmpsw, 16, 11,
cdelpst, 8, 15,
acdfprs, 8, 12,
abejoqr, 8, 0,
adehrsv, 4, 0,
degkmrt, 4, 0,
cdehprt, 16, 18,
dfgoqrw, 4, 0,
defgowy, 32, 16,
ejnrstx, 4, 0,
aeirtwy, 16, 0,
eiprsux, 32, 44,
cdehprt, 32, 38,
deflorw, 16, 37,
aclmnsu, 4, 0,
abprstu, 512, 0,
dehkopr, 4, 0,
defgost, 32, 34,
abdefip, 64, 12,
deorsxy, 16, 31,
demnpsu, 4, 0,
deglnst, 16, 30,
cdefmpr, 16, 16,
abdemor, 8, 0,
adehstv, 8, 0,
adegqrt, 16, 27,
cdeprty, 4, 0,
defgorv, 16, 24,
efmorwy, 16, 0,
bdejnsx, 32, 18,
beimrty, 8, 0,
efijrsu, 16, 0,
cdefkpt, 32, 14,
deflopt, 8, 0,
abdmnsu, 4, 10,
abgnstu, 2, 29,
demopru, 8, 0,
deghpst, 8, 0,
abdfilp, 8, 0,
efjrsxy, 32, 16,
bdemnps, 2, 0,
adelnps, 16, 38,
acdepqr, 4, 0,
bemoqrv, 4, 10,
aefhsvw, 4, 0,
egmpqrt, 4, 0,
cdeoptw, 64, 0,
defgnor, 128, 20,
deforuw, 128, 0,
dejnorx, 8, 0,
beikrty, 128, 0,
efinprs, 256, 0,
cekprty, 8, 12,
efloqtw, 256, 0,
almnrsu, 32, 0,
abrstuv, 256, 0,
dgkmopr, 8, 0,
deghort, 32, 38,
abdfilu, 2, 21,
bdefsxy, 4, 5,
cdemnps, 128, 0,
delnprt, 8, 0,
cdefprs, 4, 0,
abeoqry, 16, 0,
dehqsvw, 128, 0,
adegqrt, 64, 0,
cdenprt, 16, 35,
defgrwx, 64, 3,
defhrwy, 512, 0,
djnrsvx, 32, 0,
befirty, 16, 0,
efinprs, 8, 0,
ceknprt, 8, 10,
deflqtw, 4, 0,
ahlmnsu, 32, 0,
abcrstu, 4, 25,
dekmprv, 512, 0,
deghsty, 2, 0,
abdfilm, 4, 14,
dfirsxy, 64, 2,
adenpsw, 16, 37,
cdlnpst, 32, 0,
acdefry, 16, 25,
abeoqry, 32, 19,
adehksv, 4, 0,
begmqrt, 4, 8,
cdejrtw, 256, 0,
dfgoruw, 4, 0,
defmorw, 4, 0,
ejnqrsx, 4, 0,
abeioty, 32, 8,
efirsuw, 8, 0,
cdekort, 32, 29,
delmotw, 8, 0,
adlmnsu, 64, 0,
abdgrsu, 32, 0,
deknopr, 8, 0,
dehkost, 16, 14,
abdefij, 8, 0,
defrsty, 32, 51,
dhmnpsw, 64, 0,
delnrst, 32, 97,
acdefrs, 8, 36,
abemnor, 2, 47,
adestvw, 64, 0,
cdegqrt, 4, 0,
cdeprst, 8, 25,
efgorsw, 2, 0,
dforvwy, 32, 0,
dejnrux, 8, 0,
abderty, 4, 42,
eiprsuw, 32, 47,
cekprtv, 128, 0,
eflotuw, 256, 0,
ablmnqu, 4, 11,
agmrstu, 8, 0,
dgkmopr, 4, 0,
eghlost, 16, 0,
adefilx, 4, 0,
deforsy, 4, 0,
degmnsw, 8, 0,
delnost, 32, 86,
adefnpr, 16, 44,
aemnoqr, 128, 0,
adhpsvw, 16, 6,
degmqrw, 8, 0,
adeprtw, 16, 47,
degorwy, 4, 0,
defoswy, 4, 0,
ejnrsvx, 64, 0,
abilrty, 4, 22,
cfiprsu, 16, 0,
cdejprt, 512, 0,
defjotw, 4, 0,
ablmsuw, 32, 0,
abgrstx, 64, 0,
dekmort, 4, 0,
eghjost, 16, 0,
abdefhl, 8, 0,
defirsy, 4, 0,
delmpsw, 16, 20,
denpsty, 8, 0,
adefmpr, 128, 0,
abeoqrs, 4, 31,
aehlsvw, 4, 0,
dehmqrt, 4, 0,
cdegptw, 128, 9,
defmorw, 64, 13,
defhrwy, 128, 0,
dejnrsy, 64, 0,
abeprty, 8, 0,
defipsu, 4, 0,
dejkprt, 8, 0,
deflqtw, 256, 0,
blmnsuv, 32, 0,
agrstuw, 32, 0,
dekoprt, 8, 0,
dehostw, 4, 0,
bdefikl, 128, 0,
bdersxy, 512, 0,
ademnsw, 4, 0,
deflnpt, 32, 15,
cdeflpr, 8, 11,
abejoqr, 32, 12,
dehksvw, 4, 0,
degimqr, 8, 0,
cdefrtw, 8, 8,
bdegorw, 64, 0,
efkorwy, 8, 0,
dejnorx, 4, 0,
abegiry, 2, 33,
efirsuy, 4, 0,
cegkprt, 4, 0,
deflqtw, 8, 0,
ahlmnsu, 8, 0,
bglrstu, 16, 0,
dekmopx, 4, 0,
dehkost, 4, 0,
adefilx, 64, 19,
defmsxy, 8, 0,
demopsw, 16, 23,
dlnpqst, 16, 5,
acdepry, 64, 0,
abdemoq, 8, 0,
dehlsvw, 2, 0,
degkqrt, 32, 15,
cdemprt, 16, 22,
defghor, 64, 7,
eflorwy, 8, 0,
denrsvx, 512, 0,
abirtwy, 256, 0,
efipqru, 4, 0,
ceknprt, 4, 0,
deflost, 8, 0,
blmnosu, 256, 0,
abglstu, 16, 0,
dkmopru, 8, 0,
dehorst, 16, 38,
adefiln, 4, 0,
defprxy, 8, 0,
dmnpsuw, 32, 0,
dlnpstx, 8, 0,
acdefpx, 8, 5,
abegoqr, 8, 0,
abdehvw, 16, 9,
dgmnqrt, 8, 0,
degprtw, 16, 20,
defgrsw, 8, 0,
efnorwy, 64, 10,
dejnrux, 128, 0,
abeiory, 64, 0,
efiprsv, 4, 0,
cdekpty, 8, 4,
defortw, 64, 9,
abelmnu, 16, 0,
agirstu, 2, 47,
deikopr, 8, 0,
ceghost, 8, 22,
abcdfil, 128, 0,
defjrsy, 64, 4,
dekmnpw, 2, 0,
delnstx, 64, 0,
acefprv, 4, 0,
abeimqr, 16, 0,
aehsuvw, 4, 0,
degimrt, 8, 0,
adeprtw, 32, 65,
defgovw, 16, 13,
deflrwy, 4, 0,
cdjnrsx, 8, 2,
beirtvy, 256, 0,
befprsu, 16, 0,
acdkprt, 16, 9,
defoqtw, 16, 12,
abemnsu, 8, 0,
abdgrst, 32, 0,
dekmpqr, 4, 0,
degostv, 32, 29,
abefgil, 32, 30,
efirsxy, 4, 0,
eimnpsw, 16, 0,
delmnps, 8, 0,
acdfnpr, 4, 0,
abcemqr, 4, 15,
adhpsvw, 8, 0,
adegqrt, 256, 0,
cepqrtw, 8, 7,
defgiow, 4, 0,
defouwy, 32, 8,
dejknrx, 128, 0,
abehiry, 8, 0,
efpqrsu, 16, 0,
cdejkrt, 64, 0,
efklotw, 4, 0,
abelmsu, 64, 0,
bfgrstu, 8, 0,
defkmpr, 4, 0,
bdeghst, 4, 10,
adefilm, 32, 40,
deflrsy, 8, 0,
aemnpsw, 128, 0,
elnprst, 16, 0,
acdenpr, 64, 0,
aemoqrx, 128, 0,
adhsvwy, 4, 0,
degqrtu, 16, 12,
adeprtw, 4, 0,
degiorw, 256, 0,
defrvwy, 8, 0,
dhjnrsx, 8, 0,
abeinry, 8, 0,
efimprs, 4, 0,
cdekqrt, 32, 16,
bdeflow, 8, 0,
abklnsu, 16, 0,
abgjrtu, 4, 8,
dehkopr, 32, 35,
deghosy, 32, 27,
bdefilu, 512, 22,
bdfrsxy, 32, 0,
demnptw, 16, 16,
dejlnpt, 16, 10,
adefprs, 4, 0,
aemoqrx, 4, 0,
aehnsvw, 64, 0,
degkqrt, 32, 15,
deoprtw, 4, 0,
defgoru, 4, 0,
cdforwy, 128, 0,
dejnswx, 16, 12,
beinrty, 8, 0,
efprstu, 8, 0,
cdeikpt, 32, 24,
defloty, 256, 0,
almnqsu, 64, 0,
abgmrst, 4, 12,
dekoprv, 16, 29,
dghopst, 32, 0,
bdefhil, 16, 12,
defpsxy, 4, 0,
emnpqsw, 4, 0,
deflnst, 32, 53,
acdenpr, 32, 64,
abjmoqr, 4, 15,
adejsvw, 8, 0,
degmnrt, 16, 24,
cdepruw, 8, 15,
defgnrw, 8, 0,
bdforwy, 16, 9,
eijnrsx, 32, 30,
abeitxy, 4, 6,
cefiprs, 4, 0,
cdkprst, 256, 0,
dflotvw, 64, 3,
abdlmns, 4, 10,
abgkstu, 4, 13,
dekmprw, 8, 0,
dehkost, 64, 0,
abefilr, 4, 38,
defksxy, 32, 14,
demnpvw, 512, 0,
bdelnst, 512, 0,
cdefipr, 4, 0,
abemoqs, 4, 21,
adehtvw, 4, 0,
bdemqrt, 32, 21,
cdegrtw, 16, 14,
efgoqrw, 32, 11,
dejorwy, 4, 0,
cdejrsx, 8, 13,
abirsty, 8, 0,
efiprsy, 32, 48,
cdekrtw, 4, 0,
defgotw, 2, 0,
abilmns, 16, 0,
abegrsu, 128, 48,
dkmopru, 32, 0,
dghkost, 4, 0,
abdefik, 512, 16,
defqsxy, 16, 8,
demnpsu, 4, 0,
elmnpst, 2, 0,
cdefmpr, 4, 0,
aemopqr, 8, 0,
aehqsvw, 8, 0,
demqrtv, 2, 0,
acdprtw, 2, 25,
efgorwy, 4, 0,
dfnorwy, 32, 0,
defjnrx, 4, 0,
abeiqty, 512, 5,
efiopsu, 8, 0,
cdeprty, 32, 38,
dejlotw, 4, 0,
abhlnsu, 16, 0,
bgmrstu, 128, 10,
deknopr, 2, 0,
deghopt, 256, 13,
abdeflp, 32, 23,
delrsxy, 4, 0,
denpsvw, 4, 0,
delprst, 4, 0,
acdefnp, 32, 16,
abefmqr, 8, 0,
adefhsv, 8, 0,
eglmqrt, 4, 0,
cdegprt, 8, 13,
degortw, 4, 0,
dforuwy, 32, 0,
dejnprx, 8, 0,
abegrty, 32, 66,
eioprsu, 32, 65,
cdekort, 64, 0,
efjlotw, 64, 3,
ablmstu, 32, 0,
abgqstu, 16, 0,
defkmop, 16, 11,
dehosty, 256, 22,
abdeiln, 16, 49,
dfrswxy, 16, 4,
dmnpqsw, 8, 0,
djlnpst, 4, 0,
acdfipr, 32, 0,
abeloqr, 32, 28,
adehqsv, 8, 0,
adegqrt, 8, 0,
cdelptw, 16, 12,
defmorw, 8, 0,
deortwy, 8, 0,
dejnosx, 8, 0,
abeijty, 16, 0,
efirsuv, 16, 0,
bdekprt, 4, 9,
defhlot, 2, 0,
ablmnps, 32, 0,
agrstuw, 8, 0,
dkmnopr, 4, 0,
dghostw, 16, 5,
abefilq, 32, 17,
defnsxy, 512, 0,
adempsw, 16, 21,
denpstw, 8, 0,
adeflpr, 8, 0,
abkmoqr, 16, 0,
adefhvw, 4, 0,
efgmqrt, 256, 0,
cdprtwy, 4, 0,
degoruw, 4, 0,
defgrwy, 16, 13,
demnrsx, 64, 0,
beiorty, 16, 0,
cefirsu, 8, 25,
cehkprt, 4, 0,
defltwy, 256, 0,
ablmnsv, 8, 0,
abgprst, 4, 8,
ekmopqr, 8, 0,
dghostw, 16, 5,
adefilu, 16, 21,
defrsty, 8, 0,
demnprs, 512, 0,
dlnprst, 8, 0,
acefhpr, 16, 0,
aemoqrw, 16, 0,
adehjsv, 32, 20,
defgmqr, 64, 6,
cenprtw, 32, 22,
bdeforw, 64, 9,
defnrwy, 4, 0,
dejlnrs, 4, 0,
abeijty, 64, 0,
eflprsu, 2, 0,
cefkprt, 32, 23,
beflotw, 8, 0,
abdlmnu, 4, 16,
agqrstu, 64, 0,
dekmopt, 128, 0,
degostx, 16, 19,
abdeilv, 8, 0,
cdefrsx, 4, 0,
deimpsw, 2, 0,
cdelnpt, 16, 13,
acdefop, 4, 0,
aemoqrv, 8, 0,
dehksvw, 256, 4,
degjmrt, 4, 0,
cdeptuw, 512, 0,
dfgkorw, 4, 0,
defotwy, 4, 0,
cejnrsx, 4, 0,
abiprty, 128, 0,
eflprsu, 8, 0,
cdeoprt, 128, 0,
adeflot, 16, 28,
ablmstu, 2, 48,
abglrst, 16, 0,
dehkopr, 2, 0,
dghmost, 4, 0,
bdefilv, 2, 0,
efkrsxy, 4, 0,
dekmnps, 4, 0,
bdlnpst, 32, 0,
acdepry, 64, 0,
abmoqrv, 128, 0,
adepsvw, 32, 30,
degmqrw, 16, 11,
cdegptw, 8, 4,
efgorwx, 4, 0,
eforwxy, 8, 0,
ejnrstx, 512, 0,
abeikty, 32, 10,
efiprst, 8, 0,
cdeknpt, 64, 0,
defotvw, 2, 0,
ablmrsu, 8, 0,
bgrstuw, 4, 8,
defkopr, 16, 27,
dghnost, 4, 0,
abdfilx, 32, 0,
bdfrsxy, 16, 4,
ademnpw, 4, 0,
delnprs, 16, 39,
acdejpr, 16, 33,
aemoqry, 4, 0,
adehnsw, 4, 0,
cegmqrt, 8, 3,
cdenprw, 4, 0,
deforuw, 32, 21,
efjorwy, 64, 5,
dejknrs, 16, 25,
aeirtvy, 128, 0,
efipruy, 4, 0,
cdkprtu, 256, 0,
dflotwx, 4, 0,
ablmosu, 2, 37,
abgkrtu, 16, 0,
deikopr, 8, 0,
eghiost, 64, 0,
abdeilx, 32, 24,
demrsxy, 128, 0,
cdemnpw, 64, 0,
denpqst, 8, 0,
acdefir, 8, 31,
abegmqr, 4, 15,
adehksv, 4, 0,
eglmqrt, 8, 0,
cdprtwx, 4, 0,
dfgnorw, 4, 0,
defprwy, 16, 18,
dejnrwx, 256, 0,
abikrty, 32, 0,
aeiprsu, 256, 0,
cejkprt, 4, 0,
deflstw, 16, 18,
abcmnsu, 4, 13,
abfgstu, 2, 21,
dekmorw, 256, 0,
cdghost, 4, 0,
abefilp, 16, 0,
defosxy, 64, 3,
defmpsw, 8, 0,
delnpsy, 4, 0,
acdefpy, 8, 6,
aehmoqr, 4, 0,
aehlsvw, 16, 0,
degmrst, 16, 29,
cdemptw, 16, 12,
defgruw, 8, 0,
eforswy, 2, 0,
dejqrsx, 32, 17,
abdirty, 8, 0,
efirstu, 8, 0,
cdeprtx, 64, 0,
dflotwx, 32, 0,
abjlmns, 16, 0,
abglstu, 512, 0,
dekmorv, 16, 24,
bdehost, 8, 0,
abefilt, 16, 0,
deforxy, 16, 21,
demnpwy, 16, 13,
delopst, 4, 0,
adefprw, 16, 31,
abemoqv, 32, 7,
adehmsw, 2, 33,
begmqrt, 8, 0,
cdefprt, 2, 0,
dfgoqrw, 32, 0,
deoprwy, 4, 0,
dejprsx, 16, 23,
abeiqty, 32, 5,
defipru, 128, 0,
cdefkpr, 4, 0,
delnotw, 4, 0,
ablmnrs, 8, 0,
abirstu, 8, 0,
efkmopr, 64, 13,
deghops, 4, 0,
abdeflw, 8, 0,
defqsxy, 32, 10,
demnpqw, 4, 0,
dehnpst, 4, 0,
acdfpry, 8, 8,
abejmqr, 16, 0,
adhnsvw, 8, 0,
degkmqr, 8, 0,
cdeortw, 16, 28,
bdefgow, 16, 21,
dfjorwy, 64, 3,
deijnrx, 32, 26,
abeirxy, 8, 0,
efnprsu, 2, 0,
bcekprt, 16, 0,
deflowx, 4, 0,
ablmrsu, 4, 27,
abgmrtu, 8, 0,
delmopr, 32, 54,
adeghos, 32, 28,
abdefgl, 4, 21,
defgrxy, 4, 0,
degmnsw, 8, 0,
delnstu, 256, 0,
adefjpr, 8, 0,
abeimor, 128, 0,
dehsuvw, 8, 0,
adegmqt, 16, 12,
cdeiptw, 64, 0,
defgrtw, 4, 0,
adeorwy, 4, 0,
deijnsx, 64, 0,
abefirt, 16, 0,
efipqru, 32, 19,
cdelprt, 16, 24,
deflntw, 32, 19,
abklmsu, 4, 20,
ablrstu, 4, 29,
dekmpqr, 8, 0,
dehmost, 16, 20,
abcdfil, 4, 12,
aefrsxy, 2, 24,
bdemnpw, 4, 5,
dejnpst, 16, 20,
cdefgpr, 4, 0,
ademoqr, 128, 0,
adhjsvw, 32, 0,
degmrty, 32, 29,
cdenptw, 16, 12,
efgorvw, 4, 0,
adeforw, 64, 22,
dijnrsx, 16, 7,
abirtvy, 4, 10,
efhipsu, 4, 0,
cekpqrt, 32, 16,
defltwy, 32, 17,
abilmsu, 16, 0,
abfrstu, 2, 37,
demoprt, 256, 0,
degostw, 64, 0,
abdeilp, 4, 28,
eforsxy, 8, 0,
delmnps, 16, 21,
dglnpst, 16, 8,
acdfipr, 4, 0,
abeloqr, 16, 0,
abdhsvw, 8, 0,
degnqrt, 8, 0,
cderstw, 16, 29,
defgotw, 4, 0,
delorwy, 8, 0,
ejnrsxy, 8, 0,
abefrty, 8, 0,
efiprtu, 8, 0,
ceknprt, 4, 0,
adelotw, 4, 0,
abclnsu, 8, 20,
aglrstu, 8, 0,
dejmopr, 4, 0,
cdeghst, 32, 24,
abdefiu, 2, 15,
defrsuy, 64, 13,
ehmnpsw, 64, 0,
deinpst, 256, 0,
acdefhp, 4, 0,
abemqrx, 128, 0,
adhjsvw, 32, 0,
dgmnqrt, 4, 0,
aceprtw, 32, 43,
defgnor, 4, 0,
dekorwy, 4, 0,
denrsxy, 4, 0,
abejrty, 64, 0,
fimprsu, 8, 0,
dekprtw, 4, 0,
delotwx, 4, 0,
almnqsu, 8, 0,
bgkrstu, 4, 9,
demoprw, 16, 34,
deghors, 8, 0,
abdfilt, 8, 0,
defmsxy, 64, 6,
demnprw, 32, 26,
deflnpt, 8, 0,
acefhpr, 32, 26,
aeimoqr, 32, 15,
adepsvw, 16, 19,
efgmqrt, 4, 0,
cdhprtw, 2, 0,
degoqrw, 4, 0,
deforty, 16, 21,
dejknsx, 8, 0,
abertwy, 32, 45,
efgprsu, 16, 0,
dekprtx, 4, 0,
deflouw, 4, 0,
blmnsuv, 4, 4,
abkrstu, 16, 0,
defkmpr, 128, 0,
dehostx, 16, 13,
abefilp, 4, 17,
deprsxy, 64, 0,
dhmnpsw, 16, 3,
dlnprst, 256, 0,
acdefor, 16, 38,
abelmqr, 64, 0,
ademsvw, 8, 0,
dgmpqrt, 8, 0,
cdekrtw, 16, 13,
defgmrw, 4, 0,
defortw, 4, 0,
dfjnrsx, 16, 4,
abeiory, 256, 0,
efijpsu, 256, 0,
dekoprt, 8, 0,
adeflot, 128, 0,
ablmpsu, 8, 0,
abfgrst, 32, 0,
ekmoprx, 32, 15,
deghrst, 8, 0,
abdeflq, 2, 21,
defrsty, 32, 51,
degmpsw, 4, 0,
degnpst, 4, 0,
cdeflpr, 32, 27,
ademoqr, 2, 31,
adhsvwr, 32, 0,
degmqtx, 4, 0,
cdenprt, 16, 35,
degorvw, 8, 0,
deortwy, 4, 0,
dehjnrs, 8, 0,
abeiprt, 8, 0,
ehiprsu, 16, 0,
bcdekpr, 32, 28,
eflotwy, 16, 0,
abhlmnu, 16, 0,
adgrstu, 16, 19,
dekopqr, 64, 0,
cdeghot, 4, 0,
adefily, 16, 18,
adefrsy, 16, 40,
defmnps, 4, 0,
deklnps, 2, 0,
acdfipr, 256, 0,
abelmor, 16, 0,
adhsuvw, 16, 5,
degqrtv, 512, 0,
denprtw, 128, 0,
dfglorw, 8, 0,
deflorw, 32, 44,
djnprsx, 2, 0,
abimrty, 4, 14,
eiprsuv, 16, 0,
bcdkprt, 8, 2,
deflqtw, 16, 7,
ablnsuv, 128, 0,
abcgrst, 4, 14,
dfkmopr, 64, 7,
degopst, 8, 0,
adefilo, 128, 0,
dfnrsxy, 2, 0,
dmnpswy, 16, 5,
eflnpst, 4, 0,
acdefrx, 4, 0,
abmoqru, 4, 19,
abdehvw, 8, 0,
deghmqr, 8, 0,
ceiprtw, 128, 0,
defgkor, 8, 0,
efoprwy, 16, 0,
ejnorsx, 32, 18,
abeikry, 16, 0,
efirsux, 16, 0,
cdeprty, 32, 38,
deflopw, 8, 0,
ablnsuw, 4, 12,
bgnrstu, 4, 12,
dekmops, 16, 22,
deghlot, 8, 0,
abefilv, 16, 0,
deflsxy, 4, 0,
demnstw, 4, 0,
elnprst, 16, 0,
acdefpw, 128, 0,
abemory, 16, 0,
aeghsvw, 4, 0,
bdgmqrt, 8, 0,
cdemptw, 8, 4,
defghor, 8, 0,
dfoqrwy, 32, 0,
adejnsx, 4, 0,
abeirtv, 128, 0,
efinrsu, 4, 0,
ceikprt, 16, 0,
dflotuw, 128, 0,
abdlmns, 8, 0,
agprstu, 4, 0,
ekmoprx, 16, 0,
degkost, 4, 0,
abdfilu, 8, 0,
dfrsuxy, 8, 0,
denpsuw, 8, 0,
delnpsu, 4, 0,
acdefry, 8, 16,
abmnoqr, 4, 20,
adehosw, 4, 0,
ademqrt, 8, 0,
cdeirtw, 32, 47,
defgoru, 16, 29,
efoprwy, 4, 0,
cdejrsx, 8, 13,
abijrty, 128, 0,
efjprsu, 64, 12,
dekprtv, 8, 0,
adelotw, 8, 0,
