vocabs, center, score
ehjnrsx, 4, 0,
abehrty, 32, 50,
efginty, 4, 0,
efklstu, 16, 0,
defipsu, 32, 21,
abilpuw, 32, 0,
cdklprt, 16, 5,
dflostw, 4, 0,
defkpwy, 512, 0,
dforuwy, 4, 0,
ghilmsu, 32, 0,
dejprsx, 64, 0,
abceity, 16, 0,
definqy, 4, 0,
dflstux, 16, 5,
efhprsu, 16, 0,
abijluw, 8, 0,
cekprtu, 8, 13,
deflotu, 16, 23,
dekorwy, 4, 0,
defkorw, 16, 17,
eghimos, 16, 0,
ejnprsx, 32, 23,
abirsty, 8, 0,
defginp, 16, 16,
elqstux, 32, 18,
efiprst, 8, 0,
abhimuw, 4, 7,
cdekpst, 2, 0,
deklotw, 8, 0,
efknowy, 8, 0,
defiowy, 8, 0,
bghimou, 32, 0,
cdejrsx, 2, 0,
abeioty, 16, 0,
adefgny, 4, 0,
fklstux, 4, 0,
befipru, 4, 11,
abijlmw, 4, 9,
cdekrtu, 64, 0,
defhltw, 128, 0,
defoswy, 128, 0,
defiowy, 8, 0,
ghimotu, 128, 15,
dejnsux, 256, 0,
abeilrt, 8, 0,
bdeginy, 256, 0,
elostux, 32, 32,
fiprsuv, 256, 0,
abglmuw, 8, 0,
cdekort, 32, 27,
deflnow, 2, 0,
bdfkowy, 4, 4,
defrswy, 128, 0,
hilmosu, 8, 0,
dejkrsx, 4, 0,
abeirtx, 16, 0,
defgijy, 128, 6,
eflrtux, 64, 14,
efiprsv, 16, 0,
abklmuw, 64, 0,
acdekrt, 512, 0,
defhltw, 32, 14,
defjowy, 16, 9,
efoprwy, 8, 0,
chimosu, 8, 16,
deknrsx, 4, 0,
abeipry, 32, 33,
dfginpy, 4, 0,
flostux, 512, 0,
befprsu, 2, 0,
bilmuwx, 4, 2,
cdknprt, 64, 0,
deflqtw, 16, 6,
defkouy, 32, 5,
defnowy, 16, 15,
cghimos, 32, 0,
dejrstx, 4, 0,
abertuy, 4, 38,
dfginty, 256, 0,
deflstu, 4, 0,
efinpsu, 4, 0,
abiluwx, 4, 7,
bcdeprt, 32, 32,
eflotuw, 8, 0,
efhkowy, 32, 6,
defkorw, 8, 0,
ghimsuv, 64, 0,
dejknrx, 32, 11,
abegity, 8, 0,
defgino, 16, 26,
eflmstu, 8, 0,
efhipru, 32, 20,
abilmuy, 64, 0,
cdkmprt, 32, 0,
deflopt, 8, 0,
defovwy, 2, 0,
dehorwy, 64, 0,
bghimou, 4, 7,
degnrsx, 8, 0,
aeinrty, 2, 71,
defgnvy, 32, 7,
eflstvx, 8, 0,
cefipsu, 4, 0,
ailmuwx, 32, 0,
cdefkrt, 128, 0,
deflqtw, 256, 0,
deforwy, 4, 0,
defovwy, 8, 0,
ghmosuy, 4, 0,
degjrsx, 16, 14,
abdeirt, 4, 62,
defgnuy, 4, 0,
efstuvx, 8, 0,
efipruy, 32, 26,
bilmruw, 16, 0,
bcdekpr, 128, 0,
eflostw, 16, 0,
defkoxy, 8, 0,
cdefrwy, 16, 12,
himostu, 4, 0,
deknrsx, 4, 0,
abeiort, 64, 0,
dfgilny, 4, 0,
eflmtux, 16, 0,
fiprsuy, 512, 14,
abgilmw, 4, 11,
cdkprtv, 32, 0,
deflnot, 64, 10,
defkouy, 4, 0,
defrwxy, 16, 10,
gilmosu, 8, 0,
dijnrsx, 4, 0,
abeirtx, 16, 0,
defgily, 8, 0,
eflptux, 128, 0,
eimprsu, 4, 0,
abeimuw, 4, 9,
dekpqrt, 4, 0,
dfilotw, 128, 0,
dekopwy, 64, 0,
deorvwy, 128, 0,
himorsu, 64, 0,
dejprsx, 8, 0,
abekrty, 4, 33,
efginsy, 8, 0,
efjlstu, 256, 0,
aefipru, 32, 32,
acilmuw, 32, 0,
cdepqrt, 8, 11,
defltwy, 4, 0,
dfkovwy, 128, 0,
dfkorwy, 512, 0,
cghimou, 4, 0,
deijnsx, 32, 24,
aeiqrty, 8, 0,
defginv, 32, 21,
eflsuxy, 4, 0,
cefipsu, 8, 10,
abdlmuw, 8, 0,
cdeiprt, 64, 0,
defortw, 8, 0,
adfkowy, 4, 0,
defiorw, 2, 0,
fghmosu, 4, 0,
djnqrsx, 4, 0,
abeirst, 8, 0,
defgimn, 8, 0,
beflsux, 16, 0,
dfiprsu, 4, 0,
abikluw, 4, 13,
acdkprt, 64, 0,
bdeflot, 8, 0,
defouwy, 16, 10,
beforwy, 16, 0,
ghmosuw, 64, 0,
bdejnrs, 8, 0,
abgirty, 2, 29,
defgimy, 32, 13,
efklstu, 16, 0,
deiprsu, 64, 0,
abimuwx, 8, 0,
cdkprtx, 512, 0,
dehlotw, 256, 10,
cdefkoy, 4, 0,
bdforwy, 4, 8,
ghimops, 8, 0,
deknrsx, 256, 0,
abeilty, 16, 0,
deginpy, 8, 0,
fglstux, 16, 0,
efgirsu, 4, 0,
ailmuvw, 8, 0,
deikprt, 32, 55,
defoptw, 8, 0,
efhkowy, 8, 0,
efgorwy, 8, 0,
cghimos, 16, 0,
dejnrsu, 8, 0,
abeirsy, 16, 0,
defgnry, 8, 0,
filstux, 64, 7,
eiprsux, 128, 0,
abdiluw, 64, 0,
cekprtv, 4, 0,
deflqtw, 8, 0,
efkopwy, 64, 3,
deortwy, 16, 26,
ghimors, 2, 0,
adejnrs, 8, 0,
abenrty, 8, 0,
defgnty, 128, 6,
eflmsux, 64, 15,
fiprsuy, 2, 0,
abilmvw, 64, 0,
dekprtu, 4, 0,
efjlotw, 16, 0,
defknoy, 4, 0,
efnorwy, 8, 0,
himosuy, 32, 0,
denrsux, 16, 43,
beirtuy, 4, 18,
cdfginy, 8, 3,
fklstux, 256, 0,
cefprsu, 16, 0,
abklmuw, 16, 0,
cdekopr, 16, 30,
efklotw, 8, 0,
defgkow, 32, 14,
adeorwy, 4, 0,
ghiorsu, 32, 0,
dejlnsx, 32, 20,
abeisty, 4, 32,
adefgin, 16, 32,
eflqtux, 8, 0,
cefipru, 4, 0,
abilmrw, 4, 22,
dekoprt, 8, 0,
cdflotw, 256, 0,
dfkotwy, 8, 0,
delorwy, 4, 0,
fghimos, 32, 0,
dejrsxy, 128, 0,
abegrty, 8, 0,
definsy, 16, 25,
efqstux, 64, 6,
cefiprs, 4, 0,
bilmouw, 64, 0,
cdekrtx, 8, 6,
defgltw, 4, 0,
defkoxy, 4, 0,
defhorw, 32, 24,
fgimosu, 8, 0,
deinrsx, 128, 0,
beirtxy, 16, 0,
defginp, 64, 8,
eflnstx, 128, 0,
fimprsu, 4, 0,
aijlmuw, 16, 0,
cdeikrt, 4, 0,
defhltw, 256, 3,
defkopw, 8, 0,
bdforwy, 8, 0,
himosux, 8, 0,
dejorsx, 4, 0,
behirty, 32, 26,
definvy, 8, 0,
efglsux, 16, 0,
defipsu, 4, 0,
abimnuw, 32, 0,
bdekprt, 32, 27,
deflowx, 512, 0,
bdfkowy, 32, 0,
deoqrwy, 16, 21,
gijmosu, 16, 0,
dejmnrx, 4, 0,
abeqrty, 4, 30,
definty, 64, 7,
eflqsux, 32, 14,
cefprsu, 4, 0,
abfilmu, 4, 14,
cdeklpr, 128, 0,
cdelotw, 16, 24,
efkoqwy, 8, 0,
efmorwy, 8, 0,
chimosu, 32, 0,
defjnsx, 256, 0,
aeiorty, 64, 0,
defghiy, 4, 0,
eklstux, 16, 0,
efiprsw, 32, 47,
ablmuwy, 16, 0,
dekoprt, 4, 0,
deflmow, 4, 0,
efhkowy, 32, 6,
defowxy, 32, 7,
ghimotu, 4, 0,
dejnosx, 8, 0,
abertuy, 16, 0,
defghny, 8, 0,
defltux, 8, 0,
finprsu, 16, 0,
abfiluw, 32, 0,
cdekort, 4, 0,
deflotv, 4, 0,
dehkowy, 256, 7,
eforuwy, 64, 11,
cghimou, 4, 0,
bdejnrx, 4, 8,
abeituy, 8, 0,
cdfginy, 64, 6,
eflpstx, 4, 0,
aefirsu, 32, 48,
bilmtuw, 512, 14,
cdkprtw, 512, 0,
bdflotw, 4, 7,
dfkorwy, 4, 0,
defortw, 4, 0,
ahimosu, 32, 0,
dejknsx, 16, 12,
aeinrty, 32, 78,
deginqy, 4, 0,
efklstx, 8, 0,
efiprux, 8, 0,
abclmuw, 32, 0,
cdekrtw, 4, 0,
delotvw, 2, 0,
dfkowxy, 16, 6,
dejorwy, 128, 0,
ghmosuy, 32, 0,
dejnosx, 4, 0,
abceity, 512, 11,
cdefgin, 16, 12,
eflrtux, 4, 0,
efirsuv, 2, 0,
abilmtu, 4, 16,
cdekmrt, 8, 6,
deflorw, 8, 0,
bdfkowy, 2, 0,
defoqwy, 2, 0,
himosux, 4, 0,
dejlnrx, 32, 11,
abehirt, 4, 38,
dfginuy, 512, 9,
eflrsux, 8, 0,
efiprtu, 32, 33,
ahilmuw, 4, 0,
acdekpt, 16, 16,
defkotw, 128, 0,
defklwy, 2, 0,
deorvwy, 256, 0,
cghimsu, 32, 0,
dejmrsx, 4, 0,
abertuy, 4, 38,
bdfginy, 4, 6,
cefstux, 32, 20,
efipruw, 8, 0,
abilnuw, 8, 0,
cdefkpr, 4, 0,
dflortw, 8, 0,
adefkow, 4, 0,
defrvwy, 32, 18,
ghmorsu, 8, 0,
djlnrsx, 32, 0,
abeirtw, 32, 55,
efgimny, 64, 10,
eflrsux, 64, 18,
aefiprs, 32, 71,
bfilmuw, 16, 0,
acdekpr, 16, 40,
deglotw, 256, 0,
efknowy, 16, 0,
deoqrwy, 16, 21,
himopsu, 8, 0,
denorsx, 4, 0,
abenrty, 32, 60,
defgiln, 32, 33,
eflstxy, 8, 0,
efijrsu, 8, 0,
agilmuw, 16, 0,
dekprtx, 8, 0,
deflnow, 8, 0,
adefkwy, 8, 0,
defnorw, 16, 30,
ghmoqsu, 16, 0,
ejknrsx, 4, 0,
abdeirt, 2, 92,
defgijy, 32, 8,
efltuwx, 8, 0,
filprsu, 4, 0,
abimsuw, 16, 0,
cdeoprt, 32, 51,
eflotvw, 512, 0,
defklwy, 16, 8,
defgowy, 8, 0,
gimorsu, 8, 0,
adjnrsx, 16, 13,
abehity, 4, 11,
defgimy, 256, 0,
efglstx, 4, 0,
eipqrsu, 4, 0,
abimuwy, 16, 0,
cdeprtu, 64, 0,
efklotw, 16, 0,
defnowy, 8, 0,
defopwy, 4, 0,
aghimos, 256, 14,
dejmrsx, 8, 0,
abdeity, 4, 19,
defgnry, 8, 0,
deflsux, 16, 22,
efhipru, 16, 0,
abilmtw, 8, 0,
cdgkprt, 512, 0,
deflowx, 8, 0,
defkovy, 16, 6,
dforvwy, 16, 7,
gikmosu, 32, 0,
deijrsx, 64, 0,
abehity, 32, 11,
defimny, 64, 9,
efmstux, 4, 0,
efiprux, 4, 0,
ablmnuw, 64, 0,
cdeklrt, 2, 0,
defloty, 32, 25,
defkopw, 8, 0,
dfhorwy, 4, 0,
ghijmsu, 64, 0,
djnprsx, 128, 0,
abeiory, 16, 0,
defginw, 8, 0,
efhlsux, 4, 0,
efioprs, 2, 0,
acilmuw, 16, 0,
dekpqrt, 4, 0,
delotwy, 8, 0,
defkpwy, 256, 0,
ceforwy, 4, 0,
gimosuw, 512, 15,
dejnsux, 4, 0,
abeiort, 4, 54,
dfginry, 4, 0,
aflstux, 128, 0,
efijpru, 8, 0,
abilmuy, 128, 0,
cekpqrt, 16, 0,
deflowx, 2, 0,
defkosy, 16, 11,
cdefowy, 2, 0,
fghimou, 4, 0,
dejqrsx, 2, 0,
behirty, 4, 15,
efginwy, 4, 0,
ejlstux, 32, 19,
efiopru, 64, 13,
ablmuvw, 128, 0,
dekpqrt, 32, 20,
delotwx, 16, 21,
efkmowy, 8, 0,
defhory, 4, 0,
fghiosu, 8, 0,
denorsx, 512, 0,
abirtxy, 32, 0,
definsy, 8, 0,
eflnstu, 64, 20,
efiopru, 2, 0,
ablmuwy, 8, 0,
acdekpr, 4, 0,
deflotu, 16, 23,
dfkoswy, 4, 0,
cdefowy, 32, 7,
ghimosx, 16, 0,
bdejnsx, 4, 8,
abeitwy, 16, 0,
definuy, 16, 14,
deflstu, 4, 0,
eiprsux, 4, 0,
abimuvw, 8, 0,
cdkprst, 4, 0,
defhotw, 32, 13,
efkmowy, 64, 7,
efortwy, 16, 0,
ghimnou, 128, 16,
djnprsx, 4, 0,
behirty, 256, 12,
defgikn, 4, 0,
elstuxy, 2, 0,
efipsuw, 16, 0,
ailmuvw, 8, 0,
cdkpqrt, 64, 0,
delotvw, 32, 32,
defkswy, 128, 0,
efoqrwy, 64, 6,
eghiosu, 8, 0,
dejnrxy, 8, 0,
abfirty, 4, 17,
bdefgiy, 4, 5,
eflostx, 8, 0,
efprstu, 4, 0,
bgilmuw, 4, 2,
cdeikpr, 16, 33,
defkltw, 256, 0,
dfklowy, 32, 0,
dehorwy, 256, 12,
himosuv, 4, 0,
dejrsvx, 16, 13,
abeipry, 4, 19,
defgnoy, 2, 0,
eflostu, 256, 0,
finprsu, 4, 0,
adilmuw, 16, 8,
cdkprtv, 64, 0,
dflortw, 8, 0,
dfhkowy, 4, 0,
dfkorwy, 8, 0,
ghlmosu, 4, 0,
djnrstx, 16, 5,
beilrty, 16, 0,
definvy, 16, 12,
efjlsux, 8, 0,
efioprs, 2, 0,
abilmtu, 32, 0,
cdekpqt, 8, 2,
defhlow, 8, 0,
dfknowy, 64, 3,
deforuy, 32, 23,
ghimosv, 16, 0,
deinrsx, 512, 48,
abiorty, 16, 0,
dfginty, 8, 0,
elpstux, 16, 0,
efipqsu, 16, 0,
abimnuw, 16, 0,
adekprt, 4, 0,
deilotw, 16, 26,
efgkowy, 32, 6,
adforwy, 2, 25,
gimoqsu, 8, 0,
dejnrux, 2, 0,
abertvy, 32, 48,
cefginy, 4, 0,
efilstx, 16, 0,
efgipsu, 32, 10,
ablmnuw, 128, 0,
cekprtv, 4, 0,
deflntw, 4, 0,
dehkowy, 8, 0,
deorwxy, 8, 0,
bghiosu, 64, 0,
dejnrwx, 4, 0,
abdeiry, 8, 0,
defghiy, 32, 10,
eflmsux, 4, 0,
efipsux, 4, 0,
abilmnu, 8, 0,
cekpqrt, 16, 0,
cdefotw, 8, 5,
dejkowy, 8, 0,
defowxy, 16, 11,
ghimops, 16, 0,
deijnrx, 64, 0,
abdeiry, 32, 55,
cdefiny, 8, 5,
eflsuwx, 2, 0,
efgiprs, 16, 0,
abdiluw, 4, 11,
cdeprtx, 4, 0,
deflopw, 8, 0,
defnowy, 32, 12,
cdforwy, 32, 0,
fghiosu, 4, 0,
dejnorx, 4, 0,
abceirt, 8, 52,
defgiln, 256, 0,
efltuwx, 8, 0,
efiqrsu, 128, 0,
abelmuw, 8, 0,
bcekprt, 16, 0,
deflorw, 64, 19,
defkvwy, 4, 0,
deflowy, 4, 0,
ghinosu, 64, 0,
denrsxy, 16, 26,
abehirt, 32, 59,
defgnoy, 16, 15,
aefstux, 32, 20,
efimpru, 4, 0,
abhlmuw, 4, 9,
cdejprt, 8, 12,
defotwy, 16, 13,
deflowy, 4, 0,
dfmorwy, 2, 0,
himosuy, 4, 0,
dehjnsx, 16, 9,
aeirtuy, 4, 0,
defginx, 128, 9,
cflstux, 32, 0,
filprsu, 32, 0,
abilmuv, 16, 0,
cdekptv, 4, 0,
deflopw, 64, 9,
dfknowy, 16, 6,
efmorwy, 4, 0,
eghmosu, 4, 0,
dejkrsx, 32, 24,
adeirty, 32, 63,
defgiky, 16, 10,
eklstux, 2, 0,
efinprs, 256, 0,
ailmsuw, 64, 0,
cdekprs, 4, 0,
eflortw, 8, 0,
defopwy, 16, 12,
defkorw, 16, 17,
gikmosu, 4, 0,
dehjnsx, 16, 9,
abertxy, 8, 0,
definry, 8, 0,
efjlsux, 16, 0,
efhprsu, 4, 0,
abimnuw, 8, 0,
cdepqrt, 8, 11,
deloqtw, 8, 0,
defkmow, 8, 0,
dfnorwy, 4, 0,
ghmnosu, 4, 0,
adejnrs, 8, 0,
abilrty, 8, 0,
adeginy, 4, 0,
eflqtux, 32, 10,
dfiprsu, 2, 0,
abilruw, 64, 0,
cdeprtw, 64, 0,
defoptw, 256, 0,
dfklowy, 4, 0,
bdefrwy, 128, 0,
ghiostu, 32, 0,
ejnqrsx, 4, 0,
abfirty, 32, 0,
dfgijny, 4, 0,
efkstux, 4, 0,
efipsuy, 4, 0,
abiluvw, 64, 0,
bcdekpr, 8, 10,
defloqt, 4, 0,
defhkwy, 4, 0,
defrtwy, 8, 0,
ghikmou, 4, 0,
cdejnsx, 16, 10,
abirsty, 8, 0,
defgkny, 8, 0,
eflstwx, 64, 7,
fhiprsu, 32, 0,
abilmpu, 8, 0,
cekpqrt, 32, 13,
ceflotw, 32, 18,
dekoswy, 16, 18,
efkorwy, 4, 0,
ghimops, 2, 0,
degjnrx, 4, 0,
abeikty, 16, 0,
defgnuy, 8, 0,
efmstux, 32, 19,
efiopsu, 16, 0,
abimruw, 4, 15,
cdepqrt, 4, 0,
defilot, 4, 0,
defkosw, 16, 14,
defgowy, 128, 13,
gimorsu, 16, 0,
dejnpsx, 4, 0,
abdeiry, 64, 0,
defgnsy, 16, 15,
eflnstx, 256, 0,
ceiprsu, 16, 0,
abhlmuw, 64, 0,
cdehkpr, 8, 16,
defjlow, 8, 0,
defouwy, 16, 10,
cdeforw, 4, 0,
fgimosu, 4, 0,
ejnrswx, 16, 0,
aeirtwy, 256, 0,
cdefgny, 256, 0,
deflsux, 8, 0,
efiopsu, 128, 0,
ablmuvw, 8, 0,
cekprtu, 32, 20,
defoqtw, 32, 9,
cdekowy, 8, 4,
defrswy, 2, 0,
bghmosu, 32, 0,
bdjnrsx, 4, 1,
abdeity, 4, 19,
efginwy, 32, 13,
efklsux, 2, 0,
efprstu, 32, 65,
biklmuw, 4, 3,
cefkprt, 16, 0,
efklotw, 8, 0,
defhkwy, 4, 0,
efgorwy, 8, 0,
gimnosu, 8, 0,
dejknrs, 16, 23,
abiqrty, 32, 0,
defgnxy, 16, 6,
befstux, 16, 0,
defipsu, 16, 24,
bilmquw, 64, 0,
cdjkprt, 4, 0,
bdflotw, 16, 11,
defkoqw, 16, 8,
defnorw, 4, 0,
cghimos, 2, 0,
dhjnrsx, 256, 1,
abilrty, 16, 0,
defginx, 16, 12,
defstux, 512, 0,
efgiprs, 128, 18,
abdimuw, 8, 0,
cdekrtx, 32, 13,
defhotw, 2, 0,
defhkow, 4, 0,
defrvwy, 16, 10,
ghimoqs, 8, 0,
djnorsx, 16, 11,
abdeity, 128, 0,
defgnqy, 4, 0,
efilstx, 64, 20,
defprsu, 8, 0,
bhilmuw, 128, 0,
cdkprtu, 2, 0,
adflotw, 16, 11,
dfkoswy, 4, 0,
adefrwy, 4, 0,
eghimos, 4, 0,
degjnsx, 8, 0,
abfirty, 8, 0,
defgnty, 128, 6,
ceflstx, 8, 9,
efinrsu, 16, 0,
abilnuw, 32, 0,
cdefkpr, 16, 15,
deloptw, 16, 25,
efkmowy, 32, 6,
deoruwy, 8, 0,
ehimosu, 4, 0,
dejnprs, 4, 0,
beirtwy, 16, 0,
bdfginy, 8, 0,
efhltux, 16, 0,
efhirsu, 4, 0,
abilmqu, 4, 13,
cdekpty, 16, 8,
deflmtw, 128, 0,
defjkoy, 16, 6,
dforvwy, 4, 0,
ghiostu, 8, 0,
dejnsxy, 8, 0,
abertuy, 8, 0,
defijny, 32, 11,
flpstux, 4, 0,
fiprstu, 128, 0,
abimuwx, 4, 5,
adekprt, 16, 47,
dflnotw, 128, 0,
efkouwy, 8, 0,
bdefowy, 4, 9,
ghimosv, 16, 0,
deijnrs, 4, 0,
abeiqty, 8, 0,
defginu, 8, 0,
ceflstx, 8, 9,
efikprs, 4, 0,
ablmouw, 8, 0,
dekprty, 4, 0,
eflotwy, 4, 0,
dfhkowy, 8, 0,
deforty, 32, 25,
dhimosu, 16, 12,
dejnrux, 4, 0,
abeorty, 8, 0,
defginx, 128, 9,
delstux, 64, 0,
eilprsu, 8, 0,
abilmwx, 8, 0,
cdefkpt, 64, 2,
defjotw, 16, 9,
defkmoy, 32, 8,
dfmorwy, 16, 8,
fhimosu, 8, 0,
djmnrsx, 4, 0,
beiqrty, 8, 0,
defijny, 8, 0,
eflrstx, 8, 0,
efioprs, 8, 0,
biklmuw, 16, 0,
